,1 - Fala,2 - Depresja,3 - Burza,4- Cyklon,Total
ALBERTO,0,2,4,0,6
ALPHA,0,0,2,3,5
ARLENE,0,0,1,2,3
ARTHUR,0,0,3,4,7
BARRY,1,0,1,1,3
BERTHA,0,0,1,1,2
BERYL,4,0,6,0,10
BETA,0,2,5,3,10
BONNIE,0,3,1,1,5
BRET,1,0,0,0,1
CHANTAL,0,2,1,0,3
CHRIS,0,4,2,11,17
CINDY,0,0,1,0,1
COLIN,0,1,1,2,4
CRISTOBAL,0,4,7,4,15
DANIELLE,0,1,2,0,3
DEBBY,0,0,2,2,4
DELTA,0,0,2,6,8
DOLLY,0,1,1,0,2
DON,0,0,1,0,1
DORIAN,0,1,4,12,17
EARL,0,0,2,0,2
EDOUARD,0,3,1,4,8
EIGHT,0,3,0,0,3
ELEVEN,0,2,0,0,2
EMILY,0,1,1,0,2
EPSILON,0,0,3,7,10
ERIN,0,3,1,1,5
ERNESTO,0,0,4,4,8
ETA,0,1,7,4,12
FAY,0,0,1,0,1
FERNAND,0,0,3,0,3
FIFTEEN,0,1,0,0,1
FIONA,0,1,4,0,5
FLORENCE,0,0,5,16,21
FOUR,0,1,0,0,1
FRANKLIN,0,1,2,0,3
GABRIELLE,0,0,5,3,8
GAMMA,0,2,4,0,6
GASTON,0,0,3,4,7
GERT,0,0,3,1,4
GONZALO,0,0,4,0,4
GORDON,0,2,2,0,4
HANNA,0,0,2,1,3
HARVEY,1,2,3,2,8
HELENE,0,0,6,6,12
HERMINE,0,2,2,5,9
HUMBERTO,0,0,2,5,7
IAN,0,0,3,1,4
IMELDA,0,1,1,0,2
IOTA,0,3,1,2,6
IRMA,0,0,1,5,6
ISAAC,0,0,6,0,6
ISAIAS,2,0,5,2,9
JERRY,0,1,4,2,7
JOSE,0,0,4,7,11
JOSEPHINE,0,3,3,0,6
JOYCE,0,6,4,0,10
JULIA,0,1,2,0,3
KAREN,0,2,4,0,6
KARL,0,2,4,1,7
KATIA,0,2,1,1,4
KIRK,2,2,4,0,8
KYLE,0,0,2,0,2
LAURA,0,3,4,3,10
LEE,1,1,0,3,5
LESLIE,0,0,16,6,22
LISA,0,0,2,0,2
LORENZO,0,0,2,9,11
MARCO,0,1,3,1,5
MARIA,0,0,3,7,10
MATTHEW,0,0,1,6,7
MELISSA,0,0,4,3,7
MICHAEL,0,0,0,10,10
NADINE,0,0,4,0,4
NANA,0,0,3,0,3
NATE,0,0,2,3,5
NESTOR,2,0,0,2,4
NICOLE,0,0,3,7,10
OLGA,0,0,1,3,4
OMAR,0,3,2,0,5
OPHELIA,0,0,2,3,5
OSCAR,0,0,2,8,10
OTTO,0,1,1,0,2
PABLO,0,0,6,1,7
PAULETTE,0,0,8,7,15
PHILIPPE,0,2,0,0,2
REBEKAH,0,0,2,6,8
RENE,0,4,6,0,10
RINA,0,1,0,0,1
SALLY,0,0,2,4,6
SEBASTIEN,0,0,6,4,10
TEDDY,0,2,2,8,12
TEN,0,2,0,0,2
THETA,0,1,6,3,10
THREE,0,2,0,0,2
VICKY,0,1,2,0,3
WILFRED,0,1,2,0,3
ZETA,0,1,3,2,6
Total,14,95,267,245,621
